,country_send,country_receive,company_name,ticket_size,timestamp,fx_rate_3,service_fee
0,AED,INR,Wise,2000,2024-06-20 14:29:30,22.7695,21.25 AED
1,AED,INR,Wise,4000,2024-06-20 14:29:30,22.7695,40.08 AED
2,AED,INR,Wise,20000,2024-06-20 14:29:30,22.7695,190.85 AED
3,AED,PHP,Wise,2000,2024-06-20 14:29:30,16.0271,24.20 AED
4,AED,PHP,Wise,4000,2024-06-20 14:29:30,16.0271,45.20 AED
5,AED,PHP,Wise,20000,2024-06-20 14:29:30,16.0271,213.24 AED
6,CAD,INR,Wise,700,2024-06-20 14:29:30,61.0747,6.36 CAD
7,CAD,INR,Wise,1500,2024-06-20 14:29:30,61.0747,11.30 CAD
8,CAD,INR,Wise,7500,2024-06-20 14:29:30,61.0747,48.30 CAD
9,CAD,PHP,Wise,700,2024-06-20 14:29:30,42.9929,7.46 CAD
10,CAD,PHP,Wise,1500,2024-06-20 14:29:30,42.9929,13.26 CAD
11,CAD,PHP,Wise,7500,2024-06-20 14:29:30,42.9929,56.78 CAD
12,GBP,BDT,Wise,500,2024-06-20 14:29:30,149.008,7.42 GBP
13,GBP,BDT,Wise,1000,2024-06-20 14:29:30,149.008,11.80 GBP
14,GBP,BDT,Wise,5000,2024-06-20 14:29:30,149.008,46.78 GBP
15,GBP,CNY,Wise,500,2024-06-20 14:29:30,9.2073,7.22 GBP
16,GBP,CNY,Wise,1000,2024-06-20 14:29:30,9.2073,10.81 GBP
17,GBP,CNY,Wise,5000,2024-06-20 14:29:30,9.2073,39.47 GBP
18,GBP,INR,Wise,500,2024-06-20 14:29:30,106.059,3.20 GBP
19,GBP,INR,Wise,1000,2024-06-20 14:29:30,106.059,5.69 GBP
20,GBP,INR,Wise,5000,2024-06-20 14:29:30,106.059,25.60 GBP
21,GBP,PHP,Wise,500,2024-06-20 14:29:30,74.6589,3.95 GBP
22,GBP,PHP,Wise,1000,2024-06-20 14:29:30,74.6589,6.98 GBP
23,GBP,PHP,Wise,5000,2024-06-20 14:29:30,74.6589,31.25 GBP
24,HKD,CNY,Wise,4000,2024-06-20 14:29:30,0.9304,68.52 HKD
25,HKD,CNY,Wise,8000,2024-06-20 14:29:30,0.9304,96.39 HKD
26,HKD,CNY,Wise,40000,2024-06-20 14:29:30,0.9304,319.43 HKD
27,MYR,BDT,Wise,2500,2024-06-20 14:29:30,24.9469,45.58 MYR
28,MYR,BDT,Wise,5000,2024-06-20 14:29:30,24.9469,72.62 MYR
29,MYR,BDT,Wise,25000,2024-06-20 14:29:30,24.9469,288.86 MYR
30,MYR,INR,Wise,2500,2024-06-20 14:29:30,17.7555,22.61 MYR
31,MYR,INR,Wise,5000,2024-06-20 14:29:30,17.7555,40.24 MYR
32,MYR,INR,Wise,25000,2024-06-20 14:29:30,17.7555,181.35 MYR
33,MYR,PHP,Wise,2500,2024-06-20 14:29:30,12.5003,26.63 MYR
34,MYR,PHP,Wise,5000,2024-06-20 14:29:30,12.5003,46.98 MYR
35,MYR,PHP,Wise,25000,2024-06-20 14:29:30,12.5003,209.77 MYR
36,SGD,CNY,Wise,500,2024-06-20 14:29:30,5.3658,9.39 SGD
37,SGD,CNY,Wise,1000,2024-06-20 14:29:30,5.3658,12.63 SGD
38,SGD,CNY,Wise,5000,2024-06-20 14:29:30,5.3658,38.52 SGD
39,SGD,INR,Wise,500,2024-06-20 14:29:30,61.8052,3.26 SGD
40,SGD,INR,Wise,1000,2024-06-20 14:29:30,61.8052,5.40 SGD
41,SGD,INR,Wise,5000,2024-06-20 14:29:30,61.8052,22.54 SGD
42,USD,BDT,Wise,500,2024-06-20 14:29:30,117.500,9.71 USD
43,USD,BDT,Wise,1000,2024-06-20 14:29:30,117.500,15.51 USD
44,USD,BDT,Wise,5000,2024-06-20 14:29:30,117.500,61.96 USD
45,USD,CNY,Wise,500,2024-06-20 14:29:30,7.2605,9.80 USD
46,USD,CNY,Wise,1000,2024-06-20 14:29:30,7.2605,14.81 USD
47,USD,CNY,Wise,5000,2024-06-20 14:29:30,7.2605,54.97 USD
48,USD,INR,Wise,500,2024-06-20 14:29:30,83.6294,4.99 USD
49,USD,INR,Wise,1000,2024-06-20 14:29:30,83.6294,8.91 USD
50,USD,INR,Wise,5000,2024-06-20 14:29:30,83.6294,40.33 USD
51,USD,PHP,Wise,500,2024-06-20 14:29:30,58.8760,5.79 USD
52,USD,PHP,Wise,1000,2024-06-20 14:29:30,58.8760,10.25 USD
53,USD,PHP,Wise,5000,2024-06-20 14:29:30,58.8760,46.01 USD
