country_send,country_receive,company_name,ticket_size,timestamp,fx_rate_3,service_fee
AUD,INR,Western Union,700,6/6/2024 21:52,55.6881,0.00
AUD,INR,Western Union,1500,6/6/2024 21:53,55.6881,0.00
AUD,INR,Western Union,7500,6/6/2024 21:53,55.4773,0.00
AUD,PHP,Western Union,700,6/6/2024 21:54,40.0706,0.00
AUD,PHP,Western Union,1500,6/6/2024 21:54,40.0706,0.00
AUD,PHP,Western Union,7500,6/6/2024 21:55,38.9640,0.00
AUD,CNY,Western Union,700,6/6/2024 21:56,4.7972,0.00
AUD,CNY,Western Union,1500,6/6/2024 21:56,4.8069,0.00
AUD,CNY,Western Union,7500,6/6/2024 21:56,4.8069,0.00
AUD,VND,Western Union,700,6/6/2024 21:57,16739.2100,0.00
AUD,VND,Western Union,1500,6/6/2024 21:57,16773.0200,0.00
AUD,VND,Western Union,7500,6/6/2024 21:58,16773.0200,0.00
BHD,INR,Western Union,200,6/6/2024 21:58,221.3028,1.50
BHD,INR,Western Union,400,6/6/2024 21:58,221.3028,1.50
BHD,INR,Western Union,2000,6/6/2024 21:59,221.3028,1.50
BHD,BDT,Western Union,200,6/6/2024 21:59,311.4220,1.00
BHD,BDT,Western Union,400,6/6/2024 21:59,311.4220,1.50
BHD,BDT,Western Union,2000,6/6/2024 22:00,311.4220,3.00
CAD,INR,Western Union,700,6/6/2024 22:00,60.1671,10.50
CAD,INR,Western Union,1500,6/6/2024 22:01,60.1671,22.50
CAD,INR,Western Union,5000,6/6/2024 22:01,60.1671,75.00
CAD,PHP,Western Union,700,6/6/2024 22:02,41.9924,1.99
CAD,PHP,Western Union,1500,6/6/2024 22:02,41.9924,1.99
CAD,PHP,Western Union,7500,6/6/2024 22:03,42.2921,105.00
CAD,VND,Western Union,700,6/6/2024 22:03,18092.4300,1.99
CAD,VND,Western Union,1500,6/6/2024 22:04,18092.4300,1.99
CAD,VND,Western Union,7500,6/6/2024 22:04,17555.9800,375.00
HKD,CNY,Western Union,4000,6/6/2024 22:05,0.9156,5.00
HKD,CNY,Western Union,8000,6/6/2024 22:05,0.9156,5.00
HKD,CNY,Western Union,40000,6/6/2024 22:06,0.9156,5.00
JPY,PHP,Western Union,80000,6/6/2024 22:06,0.3757,0.00
JPY,PHP,Western Union,150000,6/6/2024 22:06,0.3757,0.00
JPY,PHP,Western Union,750000,6/6/2024 22:07,0.3757,0.00
JPY,CNY,Western Union,80000,6/6/2024 22:07,0.0464,880.00
JPY,CNY,Western Union,150000,6/6/2024 22:07,0.0464,880.00
JPY,CNY,Western Union,750000,6/6/2024 22:08,0.0464,1480.00
JPY,VND,Western Union,80000,6/6/2024 22:08,161.7144,880.00
JPY,VND,Western Union,150000,6/6/2024 22:09,161.7144,880.00
JPY,VND,Western Union,750000,6/6/2024 22:09,161.7144,1480.00
MYR,INR,Western Union,2500,6/6/2024 22:13,17.7764,0.00
MYR,INR,Western Union,5000,6/6/2024 22:13,17.7764,0.00
MYR,INR,Western Union,25000,6/6/2024 22:15,,0.00
MYR,BDT,Western Union,2500,6/6/2024 22:15,24.9651,10.00
MYR,BDT,Western Union,5000,6/6/2024 22:16,24.9651,10.00
MYR,BDT,Western Union,25000,6/6/2024 22:16,24.9651,10.00
MYR,PHP,Western Union,2500,6/6/2024 22:17,12.4851,0.00
MYR,PHP,Western Union,5000,6/6/2024 22:17,12.4851,0.00
MYR,PHP,Western Union,25000,6/6/2024 22:18,12.4851,0.00
MYR,VND,Western Union,2500,6/6/2024 22:19,5385.3500,5.00
MYR,VND,Western Union,5000,6/6/2024 22:19,5385.3500,5.00
MYR,VND,Western Union,25000,6/6/2024 22:20,5385.3500,5.00
QAR,INR,Western Union,1500,6/6/2024 22:21,22.7875,20.00
